sn_name,sn_type,band,t0,t1,A,B,Tfall,Trise
SDSS-II SN 16945,Ia,r',53977.42285104946,54031.634598073324,0.09885318126873463,2.904175061467573,16.00520065968181,99.99635020062045
SDSS-II SN 16945,Ia,u',53998.16575201067,54040.31474141242,2.6918503274969026,9.062097753090992,6.707002633002728,99.94703928250291
SDSS-II SN 16945,Ia,z',54039.45093790147,54044.62979791217,0.0054710779987621055,26.184439911424082,5.124710306082181,6.474962205371087
SDSS-II SN 6883,Ia,g',53607.21444380099,53645.211278152274,2.338973258155781,1.6367833774134348,8.099348399771737,99.94491262052489
SDSS-II SN 6883,Ia,i',53620.26187420816,53661.13098031832,1.8084246827394317,5.061825192359377,7.568093375268269,99.97224598590431
SDSS-II SN 6883,Ia,r',53672.21503131835,53661.23820317631,0.7739767047608846,0.00921334959342262,7.8788415400381835,15.425713397349316
SDSS-II SN 6883,Ia,u',53622.09158273531,53633.63802815434,0.49955674884063056,0.0008902140193171742,49.252544345607284,50.135798536568025
SDSS-II SN 6883,Ia,z',53607.21515000862,53676.890008232156,65622.7889296858,0.07864759335165092,5.95052467769816,99.99999999999999
SN2005gh,Ia,g',53607.19516052841,53629.600303344574,3.7681565251870457,0.3409498652100558,7.283781799228163,99.999894542664
SN2005gh,Ia,i',53663.57589597007,53667.603116334605,0.6109214023970648,0.02157360175749896,6.954835314920638,3.6571791924279795
SN2005gh,Ia,r',53607.19661610149,53622.910289870546,0.013863582597851459,9.930941410618999,10.188031848792175,99.97866726318183
SN2005gh,Ia,u',53607.19506528952,53632.456993784894,0.7080727192280544,17.934052953261663,5.32295498961916,99.93645864706835
SN2005gh,Ia,z',53607.19701810416,53617.10901056191,0.004098939226446463,6.759343555973491,11.930751273325354,99.93489666253848
SN2019bkh,Ia,G,58633.0670914124,58637.14833396801,0.009468685466941199,0.5021023397943882,13.515012149686706,7.713030603496468
SN2007gt,Ia,g',54345.06165525689,54358.3960413878,3.3371815467836474,0.0010611705114881027,21.2310706492177,99.99817642523193
SN2007gt,Ia,i',54372.43689050732,54374.082187863714,0.8904676937999455,0.0011587463541890975,14.514882225283984,17.686411625328237
SN2007gt,Ia,r',54407.291679999995,54398.64043267927,0.4629938307075556,0.0015893767124312418,10.002379497431344,9.027731510797699
SN2007gt,Ia,u',54347.38579158924,54364.40619951802,3.026545318736114,0.005798450815887782,13.600361623380602,99.99999823707427
SN2007gt,Ia,z',54344.24157996834,54364.327377498215,4.503410175656203,0.0016490476738795484,13.729833184699036,99.99982856071367
SN2006lq,Ia,g',53976.40181834352,54009.177869580206,0.39094184879786703,6.343369839573676,8.103707485381031,99.97852289181958
SN2006lq,Ia,i',53974.40705838213,54014.56891761148,0.42062800467135875,4.776076796898348,9.427566457237358,98.1973163353282
