supernova,type,redshift,band,n_obs,flux_scale,t0,t1,A,B,Tfall,Trise
AT2020bfe,IIn,,G,18,7.046930689671466e-08,58941.55064786073,59033.93547568534,1.110396308200707,7.849910277212312e-05,74.17286491294367,25.080769476791733
SN2019alr,IIn,0.083,G,10,3.5974933515574236e-08,58647.40399425926,59233.878147593394,0.39392046775569434,-1.933862820137402e-06,10.000000615095244,29.999999769778196
Gaia19eyt,IIn,0.071,G,14,3.4673685045253164e-08,58955.81744289273,61063.15785080789,2.269284618505655,-9.460463826298478e-08,99.99999999999999,99.99999999999999
SN2002ic,IIn,0.066,C,22,1.3551894123510321e-07,52864.0017,53392.6417169977,1.3008775472415565e-07,0.810684718294229,9.99999999999091,30.00000000000302
SN1995N,IIn,0.00617,B,19,2.173802080137395e-08,50100.733654828975,50601.74100903815,3.0195975866070045e-05,-1.8313838505981607e-06,10.000000183789707,29.999999941977475
SN1995N,IIn,0.00617,H,15,5.743015653218739e-07,50259.176593091855,50765.26572299648,9.818068086351788,-3.1094982339734457e-06,10.000012821896846,29.99999574079964
SN1995N,IIn,0.00617,I,22,5.372148386457921e-08,50207.39372738782,55006.90081965743,6.957100433585315,-3.303982375133659e-08,99.99999999999999,99.99980427403736
SN1995N,IIn,0.00617,J,12,1.6469939353875174e-07,50264.69093419323,50767.337854339734,9.159254927077901,-3.093752106896123e-06,9.999999654768539,30.00000011469392
SN1995N,IIn,0.00617,K,19,6.100929408955268e-06,50215.98475525347,50699.22100656918,99.6179334211902,-4.017373528814638e-06,14.19189183846432,29.61321605587503
SN1995N,IIn,0.00617,R,26,1.4871815878994082e-07,50164.235733407884,51276.135120096485,3.586135267654121,-3.8066905867282686e-07,99.99999999999999,99.98429647854026
SN1995N,IIn,0.00617,V,24,4.593756807385185e-08,50229.01331981945,54798.04663987911,5.933763157759309,-3.5385216817278954e-08,99.99999999999999,99.99937578587812
OGLE15lb,IIn,,I,84,1.2291361730601674e-08,57324.20104,57897.44305042091,2.893192263726547e-10,0.6130961592168425,10.000000000094063,29.999999999968754
SN2018awp,IIn,0.071,G,40,1.3182567385564074e-07,57926.34051293166,63802.91726573059,277.27361445087274,-2.988346684199879e-08,99.99999999999999,44.61616433488439
SN2020cke,IIn,0.023,G,10,2.9107171180666022e-08,58908.30332776255,59108.890998235845,1.7597105163824647,1.049219839550642e-05,32.49752588231336,99.99999999999926
SN2017cqg,IIn,0.023,w,12,3.189480857772717e-08,57889.456728586345,58432.49599497884,1.1796741142662714,8.211609147266319e-07,0.4450373289541415,0.44076210564101365
SN2011iw,IIn,0.023,R,109,4.9068185676795097e-08,56204.2,56766.24199942993,-2.2898159393654346e-11,0.39659793913247576,9.999999998538314,30.000000000485606
SN2019jys,IIn,0.083,G,26,5.1999599653351516e-08,58652.17574957744,59238.697507541256,0.23596167584055808,-1.6957898910870172e-06,10.000000000784953,29.999999999634504
SN2011jb,IIn,0.084,C,100,3.095280416593975e-08,55927.47998,56486.7547798542,2.6495076338109306e-09,0.7068682328987957,10.000000000107768,29.999999999964196
SN2017hrq,IIn,0.055,G,27,3.019951720402013e-07,57891.70571469752,58632.657903482504,21.396224336610356,-2.2874657066898825e-06,99.73649592165076,38.57237677871819
SN2021kqv,IIn,0.051,G,10,6.137620051647934e-08,59082.978365345894,59948.66364448941,33.954556422531326,-1.5548954734614577e-06,99.92134814642341,27.21662319043999
SN2018dyv,IIn,0.03984,G,14,1.3304544179780874e-07,58466.08941237022,58442.072280432934,0.33464947969978254,0.0027585511589887897,15.208083174813611,11.890880782785638
SN2007cm,IIn,0.016,r',10,1.8741312399767514e-07,54249.44302495416,54272.27832151723,1.3258687798465372,0.0008485609398591367,32.32370188098486,5.644880783865292
SN2008am,IIn,0.2338,H,19,1.644371723214929e-07,54580.26873363504,55139.03818493983,1.3157799542347433,-1.3955483001763737e-07,99.99701228373011,87.55734350695315
SN2008am,IIn,0.2338,J,19,1.0280162981264746e-07,54533.06346495369,55087.2144364544,0.6431101499097365,1.1115521820212208e-06,2.617679222274481,2.6076103750147985
SN2008am,IIn,0.2338,Ks,19,2.2698648518838212e-07,54525.091994653405,54993.2678255436,0.653117508541952,1.4250755084648701e-06,0.12499840210793213,0.12494397984608052
SN2008am,IIn,0.2338,ROTSE,82,6.367955209079162e-08,54452.50230753909,72369.80790910863,34.98909264337657,-3.0302972924072725e-09,99.99999999999999,11.624660917848605
SN2008am,IIn,0.2338,UVM2,10,4.168693834703355e-08,54209.37809630599,54543.20554529406,10.14176717721169,0.000320615656939381,99.9949306699943,99.9810007882695
SN2008am,IIn,0.2338,UVW1,12,5.380219571891127e-08,54147.95600822113,55181.69181589275,5.318215183476681,0.0012081008718249201,42.40642480627643,38.076742186323294
SN2008am,IIn,0.2338,UVW2,10,3.104559588128356e-08,54503.491426695626,54520.02310481278,0.5368028165237874,0.007400591605594784,19.777316151955322,1.1623861712283947
SN2008am,IIn,0.2338,g',55,3.076096814740705e-08,54612.4608663088,55460.002943998035,1.3435228906430263,-2.569663358852607e-07,99.99999999999999,99.99999999999999
SN2008am,IIn,0.2338,i',56,4.78630092322638e-08,54595.93441003327,55707.168574500356,1.8008931531031258,-2.186469045477516e-07,99.95471946355217,99.79949739888546
SN2008am,IIn,0.2338,z',32,8.241381150130013e-08,54787.17003284042,55335.0410859535,2.6402495849542464e-07,-1.4054353397945454e-06,9.99999175070464,30.000002716916843
PTF10uls,IIn,0.044,R,268,5.6796294182982075e-08,55794.338,56352.28137977048,-1.1871141786473725e-07,0.6658954284300842,9.999999999353657,30.00000000021473
SN1995G,IIn,0.01626,B,15,2.9376496519615305e-07,49771.57903901104,51327.99452895454,1.298325578327482,-5.4398776879276214e-08,97.19799896054931,2.3593903422166007
SN1995G,IIn,0.01626,I,11,5.970352865838366e-07,49775.705890254285,73067.14578256982,70.88048103323932,-1.8166605316767473e-09,99.99999999999999,0.1657290761132263
SN1995G,IIn,0.01626,R,17,5.105049999754054e-07,49775.27377772212,74067.15113404776,53.71917044995029,-1.6628023173059305e-09,99.99999999999999,0.15312380397431216
SN1995G,IIn,0.01626,V,17,3.981071705534969e-07,49568.990906391315,50226.36081794494,12.470261223268114,-1.7652185660048908e-06,99.9999999999993,16.84591494880298
SN2012ca,IIn,0.019,B,14,2.8287853879701316e-07,55982.45916365733,56372.727562931446,6.3291290275525975,-5.640524125065138e-06,99.99996163847524,96.74355035146628
SN2012ca,IIn,0.019,G,20,1.16949939101987e-06,55794.45080089733,56922.14638535061,34.671849213005025,-8.839146887945238e-07,99.99999999997668,36.78358710030003
SN2012ca,IIn,0.019,I,23,1.7378008287493727e-06,55959.569209306,57103.75307697673,12.475425761285317,-6.941365482296848e-07,99.9997421413934,52.40984090477096
SN2012ca,IIn,0.019,U,15,3.590872623694513e-07,56070.44372062306,56684.90531933467,1.0712827103128013,1.225401787994818e-06,99.95232854027816,96.25197187152918
SN2012ca,IIn,0.019,UVM2,14,6.432799272608504e-08,55922.78838689855,56612.36396747523,4.013366075228417,-6.138117664227075e-07,99.9499155174201,71.94661499628714
SN2012ca,IIn,0.019,UVW1,15,1.4886753594923598e-07,56102.07889445425,56939.87863970754,1.9797773916599966,-3.236452705049338e-07,99.99333781267359,82.35914280633251
SN2012ca,IIn,0.019,UVW2,14,6.82338694141669e-08,57912.1533,58491.2748330322,-2.1439985384990885e-08,0.23967322991410842,10.000000000065564,29.99999999997822
SN2012ca,IIn,0.019,V,14,6.115049825170281e-07,56083.59379544934,56833.59547887227,3.489158144591173,-1.3039798283014137e-06,2.5685013056625716,2.622164636201694
SN2019mtk,IIn,0.084,G,21,2.805433637951716e-08,58925.239472742884,59515.072073901305,4.629997877051734e-06,-2.8636307123312854e-05,10.006313545514722,29.99790568612778
PTF12csy,IIn,0.067,g,10,2.964831389524339e-08,55778.26855872708,57002.87181366217,9.93986372864716,-4.244133774509374e-07,99.99999999999999,8.594273140830204
PTF12csy,IIn,0.067,i,13,6.30957344480193e-08,55678.55673333626,56639.533292635155,40.87788254562093,-1.4145772983662517e-06,99.99999999999999,14.41449813802775
PTF12csy,IIn,0.067,r,10,3.435579478998743e-08,55700.24905684274,56726.97547588986,21.71535761966461,-7.545870633248569e-07,99.99958640880676,32.50213666490242
