sn_name,sn_type,band,t0,t1,A,B,Tfall,Trise
2006cb,Ib,r',53869.397069664206,53890.37188323163,0.2402424720457573,0.012615749574723698,64.68376639028716,11.34675951527098
SN2016gkm,Ib_c,G,57651.8092298704,57673.70431448744,0.8617418443598666,0.0004061498675261885,33.120140839917994,0.10008848115263805
SN2005az,Ib,i',53469.410477011515,53544.20441550891,0.41554689516295834,0.0005312802555802013,91.91014971918864,7.229976549449299
SN2005az,Ib,r',53466.04141154981,53451.29352044745,2.10367650572997,0.0006263258251064934,20.000426728455967,99.98263227571118
SN2017ewx,Ib,G,57915.865362969176,57893.58726537142,0.37304810320618453,0.0024176477430439356,36.497984374555735,48.55859607366578
SN2017dcc,Ic,G,57752.275644141046,57755.183629073945,0.8469078286698162,0.03210424753733915,23.880237944470622,85.2418745352322
2006el,Ib,i',53981.527547393496,54000.18567505778,1.387473044282755,0.00046468447783586467,26.056247819510915,3.448472118273314
2006el,Ib,r',53981.78898450809,54005.858938358804,1.0995455646685506,0.0007921785161029692,24.770863452489753,2.8522982785593007
SN2017jmj,Ic,G,58117.90401863561,58101.57876193753,1.3787237018903602,0.0006193658695126932,37.6671355783967,20.365748239782288
SN2005fk,Ib_c,g',53645.08539919459,53650.72915802191,0.004978410363060016,2.4094607710106053,10.362066146300545,4.818586254526753
SN2005fk,Ib_c,i',53624.782013445954,53673.49310728171,0.5200309329374614,0.0008247269973111939,39.43091412144006,2.7650974139200324
SN2005fk,Ib_c,r',53625.92045506172,53667.08825111093,0.43157510790061904,0.0019215614460801906,32.1702452291096,3.6935978275203944
SN2005fk,Ib_c,u',53675.20656193006,53677.463128062256,0.0020791390220405563,13.124368870460607,8.236939084229236,4.162158076043286
SN2005fk,Ib_c,z',53607.213313693705,53620.20356382658,0.0017124201788426467,1.4320808423473625,24.44878284554897,97.75968083410439
2006ld,Ib,i',54029.789550328125,54036.608690986766,3.8654035735718018,0.001225341399987684,17.23401292748124,99.99594834442993
2006ld,Ib,r',54021.27200000017,54047.081470703255,3.7228238068450414,0.00028039211896764495,29.09714354960565,99.99999999998717
SN2022qh,Ic,G,59608.9950181045,59608.68855315749,0.15045587146409153,0.06112906506010227,18.81809034902532,52.85099567938097
SDSS-II SN 8196,Ib_c,g',53622.32809328208,53664.43242032504,1.7066501616961156,34.03995106342799,6.20782028739251,99.95068883440607
SDSS-II SN 8196,Ib_c,i',53608.22835817136,53665.11677580448,215.291504990625,0.14735518824874244,8.276083563630472,99.99999999999999
SDSS-II SN 8196,Ib_c,r',53626.22010053948,53665.85053916429,2.2436394652386253,5.113959302134374,7.337331228559476,99.92610157706414
SDSS-II SN 8196,Ib_c,u',53666.23986999999,53668.42508854222,4.759977153456027e-05,16715.26699712776,2.4000776213016675,0.5260878554578033
